Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	BBExch	IBRoot	IBExch	OpenReg	URic	UIB	UR2NIntra	UPatrev2d	UEm	ProdWithAsian	Note
Y	1605	Soybean Meal@CBT	[101010101001]	1	0.05%	19:00	13:20	8	13:15	SMA Comdty	SM	08:30	12:30	20	Vwap	10	08:30	09:30	CBT	ZM	ECBOT		Y	Y	Y	Y	Y	Y	
